z,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
                               0,                                0,                                0,                                0,                                0,                                0,                                0,                                0,                                0,                                0,                                0,                                0,                                0,                                0,                                0,                                0,                                0
                               1,  0.00000000000008082804288595963,  0.00000000000007783823141411086,  0.00000000000007496537385329806,  0.00000000000007220488285542931,  0.00000000000006955235104120958,  0.00000000000006700354393619957,   0.0000000000000645543931844275,  0.00000000000006220099002862603,  0.00000000000005993957904659865,  0.00000000000005776655213363463,  0.00000000000005567844272129037, 0.000000000000053671920223235716, 0.000000000000051743784699233214,  0.00000000000004989096172866907,  0.00000000000004811049748539414,  0.00000000000004639955400595782
                               2,   0.0000000000001626010589426617,   0.0000000000001565847037128702,  0.00000000000015080371018111552,  0.00000000000014524884466212112,   0.0000000000001399112359010216,  0.00000000000013478236083294923,   0.0000000000001298540309033112,  0.00000000000012511837892659082,   0.0000000000001205678464623906,  0.00000000000011619517168828302,  0.00000000000011199337774984598,  0.00000000000010795576156904187,  0.00000000000010407588309284792,  0.00000000000010034755496476373,   0.0000000000000967648326025122,  0.00000000000009332200466591203
                               3,   0.0000000000002462698216477206,   0.0000000000002371531695924407,  0.00000000000022839319031670006,  0.00000000000021997588785664193,  0.00000000000021188781587924482,  0.00000000000020411605606375849,   0.0000000000001966481973361346,  0.00000000000018947231592259064,  0.00000000000018257695618980532,  0.00000000000017595111224054825,   0.0000000000001695842102347968,   0.0000000000001634660914075929,   0.0000000000001575869957560436,   0.0000000000001519375463689712,  0.00000000000014650873437377917,   0.0000000000001412919044761151
                               4,  0.00000000000033279682279174587,   0.0000000000003204686279406194,  0.00000000000030862278906248657,  0.00000000000029724037415996024,    0.000000000000286303195094667,  0.00000000000027579377829726035,   0.0000000000002656953366356389,  0.00000000000025599174239519756,   0.0000000000002466675013268061,    0.000000000000237707727720003,   0.0000000000002290981204606102,  0.00000000000022082494003361682,  0.00000000000021287498643376377,  0.00000000000020523557794776592,  0.00000000000019789453077356572,   0.0000000000001908401394433991
                               5,   0.0000000000004231621664986876,   0.0000000000004074729792257078,  0.00000000000039239770091565643,  0.00000000000037791223072720103,   0.0000000000003639934152816505,  0.00000000000035061901131353695,  0.00000000000033776764980145125,   0.0000000000003254188015198588,  0.00000000000031355274395504086,  0.00000000000030215052953062854,   0.0000000000002911939550904106,   0.0000000000002806655325882277,   0.0000000000002705484609367991,  0.00000000000026082659896928233,   0.0000000000002514844394692352,  0.00000000000024250708422644366
                               6,   0.0000000000005183695086564201,    0.000000000000499130724939715,   0.0000000000004806448090746686,   0.0000000000004628821978802767,   0.0000000000004458144910401527,   0.0000000000004294144052070482,  0.00000000000041365572993066493,  0.00000000000039851328533541557,    0.000000000000383962881477809,  0.00000000000036998127931602117,   0.0000000000003565461532269862,  0.00000000000034363605500898657,   0.0000000000003312303793102576,  0.00000000000031930933042655245,   0.0000000000003078538904129383,  0.00000000000029684578845731983
                               7,   0.0000000000006194520590587824,   0.0000000000005964347278192389,   0.0000000000005743182133969738,   0.0000000000005530671340638762,   0.0000000000005326475006721061,   0.0000000000005130266616225817,   0.0000000000004941732500252254,   0.0000000000004760571329623757,    0.000000000000458649362770445,  0.00000000000044192213025843604,   0.0000000000004258487197852803,   0.0000000000004104034661212004,  0.00000000000039556171302136715,  0.00000000000038129977344308157,   0.0000000000003675948913405302,    0.000000000000354425204973868
                               8,   0.0000000000007274786654999167,   0.0000000000007004120514398589,   0.0000000000006744048352867647,   0.0000000000006494153954131817,   0.0000000000006254037494270666,   0.0000000000006023314893053456,   0.0000000000005801617191178713,   0.0000000000005588589952365366,   0.0000000000005383892689287038,   0.0000000000005187198312383401,   0.0000000000004998192600622712,   0.0000000000004816573693328263,   0.0000000000004642051602218296,  0.00000000000044743477428442165,   0.0000000000004313194484645626,  0.00000000000041583347188730304
                               9,   0.0000000000008435600014991633,    0.000000000000812129900131621,   0.0000000000007819301197617827,   0.0000000000007529123095140213,   0.0000000000007250300240981022,    0.000000000000698238648293422,   0.0000000000006724953244575901,    0.000000000000647758882935804,   0.0000000000006239897752527039,   0.0000000000006011500099733859,   0.0000000000005792030911250243,   0.0000000000005581139590751144,   0.0000000000005378489337667071,   0.0000000000005183756602151608,   0.0000000000004996630561749316,    0.000000000000481681261888715
