z,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
                               0,                                0,                                0,                                0,                                0,                                0,                                0,                                0,                                0,                                0,                                0,                                0,                                0,                                0,                                0,                                0,                                0
                               1,                                0, 0.000000000000000000000000000002059665239293353, 0.000000000000000000002083577097575847, 0.000000000000000002638089645231098, 0.00000000000000009014991001062829, 0.0000000000000007123351177008439, 0.0000000000000027078310098331317, 0.000000000000006792192030067467,  0.00000000000001316618854263454, 0.000000000000021527067213586105, 0.000000000000031282898041890466,  0.00000000000004176648152858137,  0.00000000000005237322952464375,  0.00000000000006262443704764364,  0.00000000000007218057577888148,  0.00000000000008082804288595963
                               2,                                0, 0.000000000000000000000000000009095749288793777, 0.000000000000000000005412165002807919, 0.000000000000000005977026722026566, 0.00000000000000019373857969659103, 0.0000000000000014924424910656777, 0.000000000000005594241602385696, 0.000000000000013913436502348081,  0.00000000000002682173691677298, 0.000000000000043689287104637474,  0.00000000000006331913044994942,  0.00000000000008437321005774261,  0.00000000000010564441481325369,  0.00000000000012618001999594568,  0.00000000000014530631174617505,   0.0000000000001626010589426617
                               3,                                0, 0.00000000000000000000000000003740804670045706, 0.00000000000000000001190391247674195, 0.000000000000000010878028933287847, 0.00000000000000032584007537713154, 0.000000000000002413066766792792, 0.000000000000008846372958541705, 0.000000000000021703700997070607, 0.000000000000041467744958351313,  0.00000000000006713324886491161,  0.00000000000009687255587148777,   0.0000000000001286698291457502,  0.00000000000016071979671299347,  0.00000000000019160519379680657,  0.00000000000022032884064537914,   0.0000000000002462698216477206
                               4,                                0, 0.0000000000000000000000000001501136074350974, 0.000000000000000000025147370931654235, 0.00000000000000001855340975023964, 0.0000000000000005049484953288403, 0.000000000000003557138647114592, 0.000000000000012668718901453937,  0.00000000000003052494491950099,  0.00000000000005762888517697299,  0.00000000000009252845999064388,  0.00000000000013272810244441253,  0.00000000000017552479020792243,  0.00000000000021852220858173013,  0.00000000000025985304323196556,  0.00000000000029821281334583555,  0.00000000000033279682279174587
                               5,                                0, 0.00000000000000000000000000058915771378911, 0.00000000000000000005218286747535844, 0.000000000000000030822424443959184, 0.00000000000000075506977608649645, 0.000000000000005023474946373571,  0.00000000000001729237477861277,  0.00000000000004077251643296441,  0.00000000000007586541777496912,  0.00000000000012057891473849418,  0.00000000000017170234647263934,   0.0000000000002258347730217147,   0.0000000000002799993837435807,  0.00000000000033189862927624845,  0.00000000000037994243343439804,   0.0000000000004231621664986876
                               6,                                0, 0.000000000000000000000000002261699607934016, 0.00000000000000000010684748798948939, 0.00000000000000005047622962416785, 0.0000000000000011082947334676295, 0.000000000000006933217559201969,  0.00000000000002298497030401719,  0.00000000000005288702284127458,  0.00000000000009678547336351991,  0.00000000000015203478971399553,   0.0000000000002146541422081274,   0.0000000000002805341262308562,  0.00000000000034613227763647403,  0.00000000000040874634727706225,   0.0000000000004665280252445673,   0.0000000000005183695086564201
                               7,                                0, 0.000000000000000000000000008492033445202651, 0.00000000000000000021607520452396067, 0.00000000000000008181081473054578, 0.0000000000000016080522098354331, 0.000000000000009437274231901277,  0.00000000000003006150861608692,  0.00000000000006736681916602169,  0.00000000000012105768147440305,   0.0000000000001877043023018117,  0.00000000000026249531699098116,  0.00000000000034060433430270304,   0.0000000000004179434107799837,   0.0000000000004914373161389646,   0.0000000000005590126486270141,   0.0000000000006194520590587824
                               8,                                0, 0.00000000000000000000000003118455983105999, 0.0000000000000000004316470152943976, 0.00000000000000013140850691058711, 0.0000000000000023132740374772444, 0.000000000000012725036488044182, 0.000000000000038896327833610235,  0.00000000000008478124825990012,  0.00000000000014942421360811114,   0.0000000000002284657621859215,  0.00000000000031620144382038526,   0.0000000000004070835173570063,   0.0000000000004965052398486667,   0.0000000000005810568094251006,   0.0000000000006584787756911667,   0.0000000000007274786654999167
                               9,                                0, 0.000000000000000000000000111994135627851, 0.0000000000000000008518189347056502, 0.00000000000000020927893112025986,  0.00000000000000330374420978769, 0.000000000000017034663415045058,  0.00000000000004993639265216603,  0.00000000000010578475132611968,   0.0000000000001827142981028718,  0.00000000000027527983969403056,  0.00000000000037682270095158466,   0.0000000000004810759703996072,   0.0000000000005829485656764714,   0.0000000000006787417414922896,   0.0000000000007660550471810632,   0.0000000000008435600014991633
                              10,                                0, 0.00000000000000000000000039332751448088395, 0.000000000000000001660574199683478, 0.00000000000000033051118830664943, 0.000000000000004686952615703287, 0.000000000000022665232768867105,   0.0000000000000637161112515033,   0.0000000000001311319500850304,  0.00000000000022185825073032462,  0.00000000000032920206733931867,  0.00000000000044549482549313834,   0.0000000000005637617488598845,   0.0000000000006784709889978022,   0.0000000000007856882244933832,   0.0000000000008829231291047248,   0.0000000000009688548822769064
                              11,                                0, 0.0000000000000000000000013508013904346247, 0.0000000000000000031978406418626773, 0.0000000000000005176429125969737, 0.000000000000006606827957317697,  0.00000000000002999107119034813,  0.00000000000008087385614548543,  0.00000000000016169378098316499,  0.00000000000026790204984605567,  0.00000000000039139558296591166,   0.0000000000005234501653917251,   0.0000000000006564063080556632,   0.0000000000007843454272106571,   0.0000000000009031592153384137,   0.0000000000010103246937268633,   0.0000000000011045767370518265
                              12,                                0, 0.0000000000000000000000045360799027455365, 0.000000000000000006083278626555642, 0.0000000000000008040214503669082, 0.000000000000009254783483098502,  0.00000000000003947858114796349,  0.00000000000010217034574234122,  0.00000000000019847473777237307,  0.00000000000032202246842255844,   0.0000000000004631441146065564,   0.0000000000006120288318320683,   0.0000000000007603702054083024,   0.0000000000009019287084860431,   0.0000000000010324922755304517,   0.0000000000011495685530665485,   0.0000000000012520002696855052
                              13,                                0, 0.0000000000000000000000148934403441496, 0.000000000000000011431310862137708,  0.00000000000000123852040907195, 0.000000000000012883570645969625, 0.000000000000051705881167095026,  0.00000000000012850901546577835,    0.000000000000242631251571092,   0.0000000000003855427576984749,   0.0000000000005458651988327491,    0.000000000000712689952148594,   0.0000000000008771188760164354,   0.0000000000010326702631971988,   0.0000000000011751074711981882,    0.000000000001302037977610214,   0.0000000000014124683441473811
                              14,                                0, 0.000000000000000000000047808694444946913, 0.00000000000000002121911458905362, 0.000000000000001892083785832817,  0.00000000000001782449656714652,  0.00000000000006738556540687543,  0.00000000000016095847257719746,   0.0000000000002954912073296437,   0.0000000000004599488588749632,   0.0000000000006411236163379707,   0.0000000000008270230220433446,   0.0000000000010082324946714748,   0.0000000000011781209369400538,   0.0000000000013325154456355841,   0.0000000000014691982380367233,   0.0000000000015873991361831297
                              15,                                0, 0.00000000000000000000015003340878086486, 0.000000000000000038906957788106436, 0.0000000000000028667017340031235,  0.00000000000002450861706286258,  0.00000000000008739086600577191,  0.00000000000020077708674708183,   0.0000000000003585745627488121,   0.0000000000005469061007107787,   0.0000000000007506450210689294,   0.0000000000009567593554174775,   0.0000000000011554159406414211,    0.000000000001339941954375158,   0.0000000000015063257022040432,   0.0000000000016526044133107367,    0.000000000001778293597890071
                              16,                                0, 0.0000000000000000000004602665692072554, 0.00000000000000007046808192445813, 0.000000000000004307577544252168, 0.000000000000033492562666365123,  0.00000000000011278546411769124,  0.00000000000024943971857579067,  0.00000000000043361500056948585,   0.0000000000006482763224849734,   0.0000000000008763297327236794,   0.0000000000011037836306085524,   0.0000000000013205088856069277,    0.000000000001519914068718931,   0.0000000000016982551414954588,    0.000000000001853909514456239,   0.0000000000019867432875497713
                              17,                                0, 0.0000000000000000000013801994650909335, 0.00000000000000012607229665173358, 0.000000000000006419423556150147,  0.00000000000004548968409798485,  0.00000000000014485714059642174,  0.00000000000030866653056256914,   0.0000000000005225825083201162,   0.0000000000007661353441055711,   0.0000000000010202666571548735,    0.000000000001270145533390546,   0.0000000000015054960299964249,    0.000000000001719946937873009,    0.000000000001910136903085549,    0.000000000002074872979549439,     0.00000000000221443862291184
                              18,                                0, 0.0000000000000000000040453435874450234, 0.00000000000000022279545930007727, 0.000000000000009488020769201288,  0.00000000000006140720845358832,  0.00000000000018515538252828362,   0.0000000000003804537596984272,   0.0000000000006277067417670005,   0.0000000000009027906886383722,   0.0000000000011847472953803661,   0.0000000000014580714997739524,   0.0000000000017125175185543928,    0.000000000001942088774760439,   0.0000000000021439295688511043,   0.0000000000023173696017814175,   0.0000000000024631776219733496
                              19,                                0, 0.000000000000000000011588305302447026, 0.00000000000000038891121448330826, 0.000000000000013908385592152782,  0.00000000000008239006951841723,   0.0000000000002355329653913513,   0.0000000000004671062585159761,   0.0000000000007515009902571535,   0.0000000000010607994476697092,   0.0000000000013722797996502532,   0.0000000000016699765653711792,   0.0000000000019438795721047056,   0.0000000000021885363261950136,   0.0000000000024017267914157933,   0.0000000000025833989585631093,   0.0000000000027348752008844893
                              20,                                0, 0.00000000000000000003244180167320914, 0.0000000000000006705801358780912,  0.00000000000002022109560128559,  0.00000000000010987200595803065,  0.00000000000029819141132173203,   0.0000000000005712715330611873,   0.0000000000008967865247424877,   0.0000000000012429861670750055,   0.0000000000015856030343551132,    0.000000000001908476332660582,    0.000000000002202065378823599,    0.000000000002461645241179583,   0.0000000000026857674174433997,   0.0000000000028750954151919845,    0.000000000003031573103551933
                              21,                                0, 0.00000000000000000008875236631999489, 0.0000000000000011421056611103745,  0.00000000000002915851705247322,  0.00000000000014563440038984095,  0.00000000000037573008143428755,     0.00000000000069597492323773,   0.0000000000010667170734068908,   0.0000000000014524606201730693,    0.000000000001827700600304745,    0.000000000002176399072496425,    0.000000000002489746294420693,    0.000000000002763940895378806,   0.0000000000029984461806742957,    0.000000000003194738781036728,   0.0000000000033554505412840642
                              22,                                0, 0.0000000000000000002372543798205466, 0.0000000000000019213977367904074, 0.000000000000041702826721384814,  0.00000000000019187315160230993,   0.0000000000004711984950518786,   0.0000000000008446554850381414,   0.0000000000012648031362934155,     0.00000000000169263532691613,   0.0000000000021018147826298213,   0.0000000000024767979810347246,   0.0000000000028097934057207474,   0.0000000000030981297428961774,   0.0000000000033423250430573777,   0.0000000000035447656987928725,    0.000000000003708835622714099
                              23,                                0, 0.0000000000000000006196940489568399, 0.0000000000000031928934750637067,  0.00000000000005915779945861393,   0.0000000000002512736237127669,   0.0000000000005881512828949415,   0.0000000000010212020473025514,   0.0000000000014949358197762974,   0.0000000000019672426713974187,    0.000000000002411460384501629,    0.000000000002812963616926571,   0.0000000000031652895152311386,    0.000000000003467111268384189,   0.0000000000037201452630603564,     0.00000000000392778184713797,    0.000000000004094217653293803
                              24,                                0, 0.0000000000000000015813896452291625, 0.000000000000005240941808046485,   0.0000000000000832363044524345,  0.00000000000032709339408488967,   0.0000000000007307049778793159,   0.0000000000012299888299465144,   0.0000000000017614098444520663,   0.0000000000022803514648244713,   0.0000000000027604384098436555,    0.000000000003188436544823133,    0.000000000003559541603984619,    0.000000000003873990610557834,   0.0000000000041348402669059686,    0.000000000004346575032764301,    0.000000000004514260378601935
                              25,                                0, 0.00000000000000000394247535501025, 0.000000000000008497564348886228,   0.0000000000001161652762576318,   0.0000000000004232521235270587,   0.0000000000009035956305208875,   0.0000000000014759099281217583,   0.0000000000020689453558555273,   0.0000000000026363827959171493,    0.000000000003152849556499992,   0.0000000000036070202080906542,    0.000000000003996093824409173,    0.000000000004322091920547682,    0.000000000004589549389309837,    0.000000000004804129237570165,   0.0000000000049718162348857655
                              26,                                0, 0.000000000000000009601480191211817, 0.000000000000013609532191892915,  0.00000000000016080955676660322,   0.0000000000005444273986627432,   0.0000000000011122360115339595,   0.0000000000017644118892465356,   0.0000000000024227081454668156,   0.0000000000030401250034349348,   0.0000000000035931074745343486,     0.00000000000407279404367731,    0.000000000004478741061758377,    0.000000000004814972502846191,    0.000000000005087632532985488,     0.00000000000530363966851087,   0.0000000000054699416514747566
                              27,                                0, 0.00000000000000002284113966407632,  0.00000000000002153078841716747,  0.00000000000022081539719454413,   0.0000000000006961548530620049,   0.0000000000013627709383883986,   0.0000000000021015235383610216,    0.000000000002828327867961095,   0.0000000000034967475933020046,    0.000000000004085951729231576,     0.00000000000459012683206271,    0.000000000005011543078568129,    0.000000000005356437759796962,    0.000000000005632685767752326,    0.000000000005848528828352783,    0.000000000006011913420155655
                              28,                                0, 0.00000000000000005307376222108443,  0.00000000000003364729238906749,  0.00000000000030077352506994963,   0.0000000000008849302716856368,   0.0000000000016621290421661779,   0.0000000000024938821419118897,   0.0000000000032919138165643217,    0.000000000004011813901559037,   0.0000000000046364603807280044,    0.000000000005163690240980613,     0.00000000000559883921764152,    0.000000000005950556918736982,    0.000000000006228557846740128,    0.000000000006442463581652028,    0.000000000006601246102689592
                              29,                                0, 0.00000000000000012044748599773685, 0.000000000000051942201105492815,   0.0000000000004064004903941312,   0.0000000000011183107389328016,   0.0000000000020180690827187127,   0.0000000000029487549394928655,   0.0000000000038200677872344074,    0.000000000004591292268772623,    0.000000000005250062046568548,    0.000000000005798472467837434,    0.000000000006245263580087988,    0.000000000006601679459079746,   0.0000000000068793675541313695,    0.000000000007089373127027409,   0.0000000000072417103848343916
                              30,                                0, 0.00000000000000026695982331653024,  0.00000000000007920970722453212,   0.0000000000005447354940285628,   0.0000000000014050112260494763,   0.0000000000024392187297107595,   0.0000000000034740550140074133,    0.000000000004419893517930468,    0.000000000005241565434670052,    0.000000000005932547243038607,   0.0000000000064997918058517054,    0.000000000006955760509592709,     0.00000000000731445206867487,    0.000000000007589521710156125,    0.000000000007793467698412936,    0.000000000007937352197855144
                              31,                                0, 0.000000000000000577830502602445,  0.00000000000011932553160329342,   0.0000000000007243480792598596,   0.0000000000017549923555638225,   0.0000000000029351035587749415,    0.000000000004078350407553722,    0.000000000005099002123152599,    0.000000000005969437774963526,    0.000000000006690078697414631,    0.000000000007273309844814858,    0.000000000007735600094578311,    0.000000000008093835837162571,    0.000000000008363733537336069,      0.0000000000085592576973306,     0.00000000000869251230960482
                              32,                                0, 0.0000000000000012213476932720992,  0.00000000000017758067715991756,   0.0000000000009555499726334584,    0.000000000002179534458984898,    0.000000000003516163867191168,   0.0000000000047708653146603195,    0.000000000005865512845653985,    0.000000000006782139874993949,    0.000000000007529200176160914,    0.000000000008125043859307117,    0.000000000008590393236895308,    0.000000000008945123229715166,     0.00000000000920704092847602,    0.000000000009391572796753844,    0.000000000009511845928471255
                              33,                                0, 0.000000000000002520823700522196,   0.0000000000002610822233444651,     0.00000000000125060206470748,   0.0000000000026912924911098406,   0.0000000000041937567902078976,    0.000000000005561472084855184,    0.000000000006728048303808376,    0.000000000007687329754403646,     0.00000000000845684317164619,    0.000000000009061377723809749,    0.000000000009526105618186796,    0.000000000009873954166913624,    0.000000000010124823941300864,    0.000000000010295580344767864,     0.00000000001040034165498091
                              34,                                0, 0.000000000000005080335173613789,   0.0000000000003792203308560531,   0.0000000000016239051341803026,   0.0000000000033043259111350223,    0.000000000004980141091027352,    0.000000000006460672628347096,    0.000000000007695723209393154,    0.000000000008693089809191853,    0.000000000009480330518642272,    0.000000000010089070412559685,    0.000000000010549069610724008,    0.000000000010886330253530362,     0.00000000001112282056523838,    0.000000000011276802121556843,    0.000000000011363338846457467
                              35,                                0, 0.000000000000009997103680384935,   0.0000000000005441939752007759,    0.000000000002092160584994271,    0.000000000004034097315282385,    0.000000000005888441893635133,    0.000000000007479567624481351,    0.000000000008778125249625051,    0.000000000009807918206574567,    0.000000000010607375657062975,     0.00000000001121526077827087,     0.00000000001166599281489564,    0.000000000011988625837679593,    0.000000000012207139449982024,    0.000000000012341128153880519,    0.000000000012406542117740886
                              36,                                0,  0.00000000000001920774240010442,   0.0000000000007715791428084852,    0.000000000002674485362697191,    0.000000000004897433429954509,    0.000000000006932592512759129,    0.000000000008629811663450063,    0.000000000009985286451604863,    0.000000000011040713038185261,    0.000000000011846075804377779,    0.000000000012447466844029332,    0.000000000012883961447211349,     0.00000000001318759412909646,    0.000000000013384267840401751,    0.000000000013494825854693154,    0.000000000013536031273384996
                              37,                                0, 0.000000000000036032191705160935,   0.0000000000010809124676672037,   0.0000000000033924635444365127,    0.000000000005912442062910501,    0.000000000008127250390908905,    0.000000000009923552088430748,    0.000000000011327642860596142,     0.00000000001240074699405792,    0.000000000013204896736864444,    0.000000000013793577274473394,    0.000000000014210436238849428,      0.0000000000144903660497716,    0.000000000014661072416928655,    0.000000000014744542220958602,     0.00000000001475826444322772
                              38,                                0,  0.00000000000006599533580798218,   0.0000000000014962510620073574,    0.000000000004270116068728376,    0.000000000007098378768613584,    0.000000000009487683959954817,    0.000000000011373348832119048,    0.000000000012815979753879217,    0.000000000013897629653920035,    0.000000000014692646194952407,    0.000000000015261832008045645,    0.000000000015653237828055388,    0.000000000015904438824632474,    0.000000000016044790087712723,    0.000000000016097296183137724,    0.000000000016080071566971842
                              39,                                0,  0.00000000000011801699317539411,   0.0000000000020466565049142906,   0.0000000000053337698949024536,    0.000000000008475457311789662,    0.000000000011029626989714616,    0.000000000012992071950977597,    0.000000000014461358876580556,    0.000000000015541253703257992,    0.000000000016318432125077678,    0.000000000016860788232813676,    0.000000000017220517841393315,    0.000000000017437650545754466,     0.00000000001754300501991573,    0.000000000017560457456456105,    0.000000000017508634645516628
                              40,                                0,   0.0000000000002060583619045727,    0.000000000002766538922745285,    0.000000000006611808745664592,     0.00000000001006459850686845,    0.000000000012769096665812882,     0.00000000001479277286034272,    0.000000000016275023338263653,     0.00000000001734172048500924,     0.00000000001809160106504773,    0.000000000018599266990480495,     0.00000000001892071097511594,    0.000000000019098136076499913,    0.000000000019163607347841968,     0.00000000001914170741186033,    0.000000000019051450361765562
                              41,                                0,  0.00000000000035128673086166384,    0.000000000003695787530467548,    0.000000000008134289641407353,    0.000000000011887112672570233,    0.000000000014722171272859207,    0.000000000016788524497053178,    0.000000000018268274888155806,    0.000000000019309239334320007,     0.00000000002002165101275347,     0.00000000002048627473706472,    0.000000000020762462448278036,     0.00000000002089425874064955,    0.000000000020914728092930082,    0.000000000020848976600312608,    0.000000000020716269807345473
                              42,                                0,   0.0000000000005847590024507037,     0.00000000000487960887392528,     0.00000000000993241278630911,    0.000000000013964311790974513,    0.000000000016904723001349277,    0.000000000018992224854822547,    0.000000000020452317369436547,     0.00000000002145399419125695,    0.000000000022118112166068492,     0.00000000002253089324982772,    0.000000000022754524277548392,    0.000000000022834511338199123,    0.000000000022804643945419496,    0.000000000022690352696561024,      0.0000000000225110092012683
                              43,                                0,   0.0000000000009505191067014102,    0.000000000006367995359188454,    0.000000000012037837066588046,    0.000000000016317048554634424,    0.000000000019332101153979846,    0.000000000021416357675856662,    0.000000000022838059368190643,    0.000000000023785970173472256,     0.00000000002439038811171279,    0.000000000024742130472556195,      0.0000000000249056130414488,     0.00000000002492737926275716,    0.000000000024841644805759043,    0.000000000024673951891081116,    0.000000000024443624762746865
                              44,                                0,   0.0000000000015088523474996737,    0.000000000008214756319100882,    0.000000000014481839475227251,     0.00000000001896518093420704,    0.000000000022018761075041994,    0.000000000024072703734541192,     0.00000000002543586861754658,    0.000000000026314732312592208,    0.000000000026847549564101984,    0.000000000027128724422585176,    0.000000000027224221342119602,    0.000000000027181158044450973,    0.000000000027033856540564445,     0.00000000002680774632259689,    0.000000000026521944470381933
                              45,                                0,    0.000000000002339251145025066,     0.00000000001047606318243747,    0.000000000017294324153725905,    0.000000000021926962887218854,    0.000000000024977834726030742,    0.000000000026971996393456152,    0.000000000028255270870712292,     0.00000000002904914878882855,     0.00000000002949807288052358,      0.0000000000296988924059267,    0.000000000029718375292863135,     0.00000000002960371775843181,     0.00000000002938901151912464,     0.00000000002909934024901528,     0.00000000002875344953905555
                              46,                                0,    0.000000000003542448778629561,    0.000000000013208489783601292,    0.000000000020502695388570334,    0.000000000025218364626933528,     0.00000000002822064033497175,     0.00000000003012351631634637,     0.00000000003130458708357244,    0.000000000031997052096953624,     0.00000000003234951665783958,     0.00000000003246001884541077,     0.00000000003239533139602132,     0.00000000003220220775155204,     0.00000000003191416048408915,    0.000000000031555688616835185,     0.00000000003114499938245446
                              47,                                0,    0.000000000005240716726185695,    0.000000000016466567882367855,    0.000000000024130618757954035,    0.000000000028852329831666755,     0.00000000003175613139207343,    0.000000000033534622833397126,     0.00000000003459050528948933,     0.00000000003516483407602565,    0.000000000035408132171821884,     0.00000000003541827743528035,    0.000000000035261208533804583,    0.000000000034982697445596436,     0.00000000003461532156275436,     0.00000000003418275388873998,    0.000000000033702495975965114
                              48,                                0,    0.000000000007575557975391116,    0.000000000020299924666462274,     0.00000000002819670561604997,    0.000000000032837982698654935,     0.00000000003559028992743903,      0.0000000000372102239548052,     0.00000000003811758798232368,     0.00000000003855697510182464,     0.00000000003867840771009349,     0.00000000003857818754156245,      0.0000000000383205549126247,    0.000000000037949753003788004,     0.00000000003749706616386711,     0.00000000003698510083834089,     0.00000000003643048729577554
