z,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
                               0,                                0,                                0,                                0,                                0,                                0,                                0,                                0,                                0,                                0,                                0,                                0,                                0,                                0,                                0,                                0,                                0
                               1,  0.00000000000008083201555899305,  0.00000000000007784498657581258,  0.00000000000007497520130352736,   0.0000000000000722180081415672,  0.00000000000006956894297161144,  0.00000000000006702372137199272,  0.00000000000006457823117328035,  0.00000000000006222852533863556,  0.00000000000005997081515349262,  0.00000000000005780146370997247,  0.00000000000005571697967221767,  0.00000000000005371401130956563, 0.000000000000051789340785158413,  0.00000000000004993987868822786,  0.00000000000004816265879889694,  0.00000000000004645483307490505
                               2,  0.00000000000016261720045429148,   0.0000000000001566120969796982,   0.0000000000001508435166862253,  0.00000000000014530196758309988,  0.00000000000013997835038939632,  0.00000000000013486394137337472,  0.00000000000012995037601107583,  0.00000000000012522963342007762,  0.00000000000012069402152696587,  0.00000000000011633616292959072,  0.00000000000011214898141754263,  0.00000000000010812568911648197,   0.0000000000001042597742240093,  0.00000000000010054498930667754,    0.000000000000096975340129531,  0.00000000000009354507499122292
                               3,   0.0000000000002463071020444516,  0.00000000000023721623443648174,  0.00000000000022848466274763696,  0.00000000000022009780471223892,   0.0000000000002120416966286032,  0.00000000000020430296505938165,  0.00000000000019686879998152598,   0.0000000000001897269293006389,  0.00000000000018286559465016195,  0.00000000000017627352840113313,  0.00000000000016993993181316037,   0.0000000000001638544542618122,  0.00000000000015800717348185515,   0.0000000000001523885767696875,  0.00000000000014698954309195258,  0.00000000000014180132605068858
                               4,   0.0000000000003328655558126482,  0.00000000000032058438881667796,  0.00000000000030879026608760726,   0.0000000000002974632003201432,  0.00000000000028658407257734016,   0.0000000000002761345908670416,   0.0000000000002660972509706257,   0.0000000000002564552993819315,   0.0000000000002471926982245424,   0.0000000000002382940920250537,  0.00000000000022974477622864394,  0.00000000000022153066735126777,   0.0000000000002136382746701616,  0.00000000000020605467336115294,  0.00000000000019876747899753464,   0.0000000000001917648233310552
                               5,  0.00000000000042327465635299397,  0.00000000000040766139229309775,   0.0000000000003926694116545783,  0.00000000000037827293833131747,  0.00000000000036444734212091555,  0.00000000000035116908192578857,   0.0000000000003384156522054264,   0.0000000000003261655324626991,  0.00000000000031439813956374155,   0.0000000000003030937827061536,  0.00000000000029223362086416235,   0.0000000000002817996225521306,  0.00000000000027177452775947543,  0.00000000000026214181192077447,    0.000000000000252885651794674,   0.0000000000002439908931342616
                               6,   0.0000000000005185408099995854,   0.0000000000004994157656774435,   0.0000000000004810542902432721,   0.0000000000004634243616082682,   0.0000000000004464954131099182,   0.0000000000004302382587714989,   0.0000000000004146250230366082,  0.00000000000039962907466547754,   0.0000000000003852249645048942,  0.00000000000037138836686641913,  0.00000000000035809602426840867,  0.00000000000034532569531634807,   0.0000000000003330561055133569,   0.0000000000003212669008085775,   0.0000000000003099386037056662,  0.00000000000029905257176688283
                               7,   0.0000000000006197008917385511,   0.0000000000005968456783134919,   0.0000000000005749059681673031,   0.0000000000005538429579213444,   0.0000000000005336196458839775,   0.0000000000005142007364361657,   0.0000000000004955525503754188,   0.0000000000004776429407837589,   0.0000000000004604412140215041,  0.00000000000044391805548145877,  0.00000000000042804545976787675,   0.0000000000004127966649916391,  0.00000000000039814609089773013,  0.00000000000038406928056354075,   0.0000000000003705428454269873,  0.00000000000035754441342211174
                               8,   0.0000000000007278285328931745,   0.0000000000007009850484562652,   0.0000000000006752203063619101,   0.0000000000006504881035651626,   0.0000000000006267444269699664,   0.0000000000006039473335888222,   0.0000000000005820568384438586,   0.0000000000005610348096245305,   0.0000000000005408448699674784,   0.0000000000005214523048695645,   0.0000000000005028239757862947,    0.000000000000484928239005154,    0.000000000000467734869317248,  0.00000000000045121498824139233,  0.00000000000043534099648273687,  0.00000000000042008651033345124
                               9,   0.0000000000008440405707028892,   0.0000000000008129098158975903,   0.0000000000007830340611732855,   0.0000000000007543589972485726,   0.0000000000007268329408422497,   0.0000000000007004066867795776,   0.0000000000006750333699692625,   0.0000000000006506683364813902,   0.0000000000006272690230247805,   0.0000000000006047948441837525,   0.0000000000005832070868298095,   0.0000000000005624688111739221,   0.0000000000005425447579704585,   0.0000000000005234012614249039,   0.0000000000005050061673947465,   0.0000000000004873287565067076
