z,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
                               0,                                0,                                0,                                0,                                0,                                0,                                0,                                0,                                0,                                0,                                0,                                0,                                0,                                0,                                0,                                0,                                0
                               1,                                0, 0.000000000000000000000000000002059665239293354, 0.0000000000000000000020835770975758882, 0.000000000000000002638089645377926, 0.00000000000000009014991031389572, 0.0000000000000007123351473502162, 0.000000000000002707831630574273, 0.000000000000006792197393540292, 0.000000000000013166215159917604, 0.000000000000021527158452095334, 0.000000000000031283139430562204,  0.00000000000004176701064449517,  0.00000000000005237423701174999,  0.00000000000006262615908607704,  0.00000000000007218328074213846,  0.00000000000008083201555899305
                               2,                                0, 0.00000000000000000000000000000909574928879378, 0.0000000000000000000054121650028082066, 0.000000000000000005977026722792445, 0.00000000000000019373858111527309, 0.0000000000000014924426226068622, 0.000000000000005594244276058516, 0.000000000000013913459188623033, 0.000000000000026821848168443656,  0.00000000000004368966532438822,   0.0000000000000633201251891206,  0.00000000000008437538091406137,  0.00000000000010564853447779849,  0.00000000000012618704310768883,  0.00000000000014531732073971475,  0.00000000000016261720045429148
                               3,                                0, 0.000000000000000000000000000037408046700457067, 0.000000000000000000011903912476743381, 0.00000000000000001087802893588558, 0.0000000000000003258400794703426, 0.0000000000000024130671165206723, 0.000000000000008846379743128009, 0.000000000000021703756920520955,  0.00000000000004146801399176534,    0.000000000000067134151379137,  0.00000000000009687490679576624,  0.00000000000012867492301780652,  0.00000000000016072941067953562,   0.0000000000001916215137193804,  0.00000000000022035433634091185,   0.0000000000002463071020444516
                               4,                                0, 0.00000000000000000000000000015011360743509741, 0.00000000000000000002514737093166083, 0.000000000000000018553409758016116, 0.000000000000000504948505408895, 0.000000000000003557139424013854,  0.00000000000001266873308982875,  0.00000000000003052505748990179,  0.00000000000005762941305360966,  0.00000000000009253019939567765,   0.0000000000001327325747951388,  0.00000000000017553438689859897,  0.00000000000021854018659025956,  0.00000000000025988338424103504,   0.0000000000002982599947347506,   0.0000000000003328655558126482
                               5,                                0, 0.0000000000000000000000000005891577137891103, 0.000000000000000000052182867475387783, 0.00000000000000003082242446610863, 0.0000000000000007550697992863399, 0.000000000000005023476536766968, 0.000000000000017292401844021617,  0.00000000000004077272161768696,  0.00000000000007586635067581941,  0.00000000000012058192226713657,  0.00000000000017170995673997903,  0.00000000000022585090785979627,   0.0000000000002800293318736968,    0.000000000000331948807005865,   0.0000000000003800200124699244,  0.00000000000042327465635299397
                               6,                                0, 0.000000000000000000000000002261699607934017, 0.00000000000000000010684748798961643, 0.00000000000000005047622968557665, 0.0000000000000011082947850456348, 0.000000000000006933220678262221, 0.000000000000022985019423714713,  0.00000000000005288737671672363,  0.00000000000009678702679073212,  0.00000000000015203967349828666,  0.00000000000021466627331048724,  0.00000000000028055948786286635,  0.00000000000034617884451694545,  0.00000000000040882370711477117,   0.0000000000004666468178168356,   0.0000000000005185408099995854
                               7,                                0, 0.000000000000000000000000008492033445202651, 0.00000000000000000021607520452449878, 0.00000000000000008181081489749119, 0.0000000000000016080523220737338, 0.000000000000009437280195120312,  0.00000000000003006159514755119,  0.00000000000006736740934510285,  0.00000000000012106017493219112,  0.00000000000018771192736415877,  0.00000000000026251387108665555,  0.00000000000034064251993493627,  0.00000000000041801267389023465,   0.0000000000004915512760698785,   0.0000000000005591862951174722,   0.0000000000006197008917385511
                               8,                                0, 0.00000000000000000000000003118455983106, 0.0000000000000000004316470152966223, 0.00000000000000013140850735670132, 0.000000000000002313274277861619, 0.000000000000012725047694241132, 0.000000000000038896477329085564,  0.00000000000008478221121579315,   0.0000000000001494281205698763,  0.00000000000022847736118340563,  0.00000000000031622904721720853,   0.0000000000004071393662345791,   0.0000000000004966051995495001,   0.0000000000005812195420498495,   0.0000000000006587246329406849,   0.0000000000007278285328931745
                               9,                                0, 0.000000000000000000000000111994135627851, 0.0000000000000000008518189347146303, 0.00000000000000020927893229299027, 0.0000000000000033037447176856602, 0.000000000000017034684197819156,  0.00000000000004993664732644468,  0.00000000000010578629856444961,  0.00000000000018272031794445771,   0.0000000000002752971664782743,  0.00000000000037686297986527747,    0.000000000000481156001817324,   0.0000000000005830897812545213,   0.0000000000006789690376244094,   0.0000000000007663953023148435,   0.0000000000008440405707028892
                              10,                                0, 0.00000000000000000000000039332751448088405, 0.0000000000000000016605741997188765, 0.000000000000000330511191340223, 0.0000000000000046869536754238166, 0.000000000000022665270882769504,  0.00000000000006371654032323335,  0.00000000000013113440746578426,  0.00000000000022186741191335932,  0.00000000000032922760949858796,    0.000000000000445552777078973,   0.0000000000005638747381892869,   0.0000000000006786673995966531,   0.0000000000007860005905932282,   0.0000000000008833861966415022,   0.0000000000009695036964192702
                              11,                                0, 0.000000000000000000000001350801390434625, 0.00000000000000000319784064199894, 0.0000000000000005176429203195761, 0.000000000000006606830141789634,  0.00000000000002999114037897298,   0.0000000000000808745722396267,   0.0000000000001616976474256891,   0.0000000000002679158572138603,     0.00000000000039143285499402,   0.0000000000005235326558904979,   0.0000000000006565640435305523,   0.0000000000007846154114625434,   0.0000000000009035832694938917,    0.000000000001010946971207177,   0.0000000000011054413450147335
                              12,                                0, 0.000000000000000000000004536079902745538, 0.000000000000000006083278627067841, 0.0000000000000008040214697155368, 0.000000000000009254787932835167, 0.000000000000039478705537061874,  0.00000000000010217153069492383,  0.00000000000019848077231782728,   0.0000000000003220431123450037,    0.000000000000463198060589179,   0.0000000000006121452632776498,   0.0000000000007605884802222067,    0.000000000000902296450464288,   0.0000000000010330625222847418,   0.0000000000011503966276195813,   0.0000000000012531408771502097
                              13,                                0, 0.000000000000000000000014893440344149605, 0.000000000000000011431310864017816, 0.000000000000001238520456784348, 0.000000000000012883579603823513,  0.00000000000005170610270432495,  0.00000000000012851096058982873,   0.0000000000002426406016333071,   0.0000000000003855734093898952,   0.0000000000005459427430577784,   0.0000000000007128531514405025,   0.0000000000008774187852509965,   0.0000000000010331675096130176,    0.000000000001175868554908528,   0.0000000000013031313971207076,   0.0000000000014139611127911617
                              14,                                0, 0.000000000000000000000047808694444946937, 0.000000000000000021219114595792703, 0.0000000000000018920839016365376,  0.00000000000001782451439038501,  0.00000000000006738595633494942,  0.00000000000016096164098271638,   0.0000000000002955055963483436,   0.0000000000004599940850514822,   0.0000000000006412344126554653,   0.0000000000008272504219892387,    0.000000000001008642125433462,   0.0000000000011787892520800398,    0.000000000001333525006025226,   0.0000000000014706329866987234,    0.000000000001589340285918149
